cycle,actual_acc,actual_valid
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,-3000,1
463,-3000,0
464,-3000,0
465,-3000,0
466,-2541,1
467,-2541,0
468,-2541,0
469,-2541,0
470,-2541,0
471,-2541,0
472,-2541,0
473,7224,1
474,7224,0
475,7224,0
476,7224,0
477,7224,0
478,14649,1
479,14649,0
480,14649,0
481,14649,0
482,14649,0
483,14649,0
484,14649,0
485,14649,0
486,14649,0
487,14649,0
488,14649,0
489,14649,0
490,14649,0
491,14649,0
492,14649,0
493,13881,1
494,13881,0
495,13881,0
496,13881,0
497,13881,0
498,13881,0
499,13881,0
500,13881,0
501,12801,1
502,12801,0
503,12801,0
504,12801,0
505,12801,0
506,12801,0
507,12801,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,54,1
527,54,0
528,54,0
529,54,0
530,54,0
531,54,0
532,-90,1
533,-90,0
534,-90,0
535,-90,0
536,-90,0
537,-90,0
538,-90,0
539,-90,0
540,-90,0
541,0,0
542,364,1
543,364,0
544,364,0
545,364,0
546,7680,1
547,-5300,1
548,-5300,0
549,-5300,0
550,-5300,0
551,-5300,0
552,-5300,0
553,-5300,0
554,-9964,1
555,-9964,0
556,-9964,0
557,-9964,0
558,-9964,0
559,3212,1
560,-2034,1
561,-2034,0
562,-2321,1
563,-2280,1
564,-2728,1
565,-2728,0
566,-2728,0
567,-4362,1
568,-6546,1
569,0,0
570,0,0
571,0,0
572,0,0
573,-2736,1
574,-2736,0
575,-2736,0
576,-2736,0
577,-2736,0
578,-2736,0
579,-2736,0
580,-5556,1
581,-5556,0
582,-5556,0
583,-9399,1
584,-9399,0
585,-9399,0
586,-9399,0
587,-9399,0
588,-9399,0
589,-9399,0
590,-9399,0
591,-9399,0
592,-9399,0
593,-9399,0
594,-4449,1
595,-4449,0
596,1841,1
597,1029,1
598,1029,0
599,1029,0
600,1029,0
601,-3226,1
602,-3226,0
603,-3148,1
604,-12866,1
605,-2266,1
606,-2266,0
607,-3223,1
608,-3223,0
609,-3223,0
610,-1993,1
611,-1993,0
612,-1993,0
613,-3223,1
614,-3223,0
615,-3223,0
616,-3197,1
617,-3197,0
618,-3197,0
619,-3197,0
620,-3197,0
621,2503,1
622,2503,0
623,2503,0
624,2503,0
625,3523,1
626,3523,0
627,3523,0
628,3523,0
629,-3446,1
630,-3446,0
631,9190,1
632,9190,0
633,9190,0
634,9190,0
635,9294,1
636,9294,0
637,11670,1
638,11670,0
639,13178,1
640,13178,0
641,13280,1
642,13280,0
643,11152,1
644,11152,0
645,11152,0
646,11152,0
647,14662,1
648,14662,0
649,14662,0
650,14662,0
651,14662,0
652,14662,0
653,14662,0
654,14662,0
655,14662,0
656,14662,0
657,14662,0
658,10233,1
659,9967,1
660,9967,0
661,9967,0
662,9967,0
663,3267,1
664,1411,1
665,1411,0
666,1411,0
667,1411,0
668,1411,0
669,1411,0
670,-5729,1
671,-5729,0
672,-5729,0
673,-6029,1
674,-7597,1
675,-20665,1
676,-20665,0
677,-20665,0
678,-20665,0
679,-20665,0
680,-19450,1
681,-19450,0
682,-19450,0
683,-19450,0
684,-29824,1
685,-29824,0
686,-29824,0
687,-29824,0
688,-31264,1
689,-31264,0
690,-31264,0
691,-31264,0
692,-31264,0
693,-31264,0
694,-18680,1
695,-18680,0
696,-18680,0
697,-18680,0
698,-18680,0
699,-18680,0
700,-18680,0
701,-18680,0
702,-17459,1
703,-17459,0
704,-17459,0
705,-17459,0
706,-17459,0
707,-17459,0
708,0,0
709,0,0
710,0,0
711,-1170,1
712,-1170,0
713,-1170,0
714,-1170,0
715,-1170,0
716,-1170,0
717,-1170,0
718,-1170,0
719,-1170,0
720,3586,1
721,2326,1
722,2326,0
723,2326,0
724,2326,0
725,2326,0
726,2326,0
727,2326,0
728,5654,1
729,5654,0
730,5654,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,4120,1
737,4120,0
738,4120,0
739,-430,1
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
